"ROW ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",Sales,Quantity,Discount,Profit,order_date_new,ship_date_new
26,CA-2016-121755,1/16/2016,1/20/2016,"Second Class",EH-13945,"Eric Hoffmann",Consumer,"United States","Los Angeles",California,90049,West,OFF-BI-10001634,"Office Supplies",Binders,"Wilson Jones Active Use Binders",11.65,2,0.20,4.22,NULL,NULL
27,CA-2016-121755,1/16/2016,1/20/2016,"Second Class",EH-13945,"Eric Hoffmann",Consumer,"United States","Los Angeles",California,90049,West,TEC-AC-10003027,Technology,Accessories,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,3,0.00,11.77,NULL,NULL
93,CA-2015-149587,1/31/2015,02-05-2015,"Second Class",KB-16315,"Karl Braun",Consumer,"United States",Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,"Office Supplies",Paper,"Xerox 1999",12.96,2,0.00,6.22,NULL,NULL
94,CA-2015-149587,1/31/2015,02-05-2015,"Second Class",KB-16315,"Karl Braun",Consumer,"United States",Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2" Wall Clock"",53.34,3,0.00,16.54,NULL,NULL
95,CA-2015-149587,1/31/2015,02-05-2015,"Second Class",KB-16315,"Karl Braun",Consumer,"United States",Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,"Office Supplies",Binders,"Ibico Standard Transparent Covers",32.96,2,0.00,16.15,NULL,NULL
268,CA-2016-111010,1/22/2016,1/28/2016,"Standard Class",PG-18895,"Paul Gonzalez",Consumer,"United States",Morristown,"New Jersey",7960,East,OFF-FA-10003472,"Office Supplies",Fasteners,"Bagged Rubber Bands",7.56,6,0.00,0.30,NULL,NULL
440,CA-2017-157252,1/20/2017,1/23/2017,"Second Class",CV-12805,"Cynthia Voltz",Corporate,"United States","New York City","New York",10024,East,FUR-CH-10003396,Furniture,Chairs,"Global Deluxe Steno Chair",207.85,3,0.10,2.31,NULL,NULL
468,US-2015-101399,1/17/2015,1/24/2015,"Standard Class",JS-15940,"Joni Sundaresam","Home Office","United States","Park Ridge",Illinois,60068,Central,FUR-FU-10002918,Furniture,Furnishings,"Eldon ClusterMat Chair Mat with Cordless Antistatic Protection",254.74,7,0.60,-312.06,NULL,NULL
516,CA-2017-127432,1/22/2017,1/27/2017,"Standard Class",AD-10180,"Alan Dominguez","Home Office","United States","Great Falls",Montana,59405,West,TEC-CO-10003236,Technology,Copiers,"Canon Image Class D660 Copier",2999.95,5,0.00,1379.98,NULL,NULL
517,CA-2017-127432,1/22/2017,1/27/2017,"Standard Class",AD-10180,"Alan Dominguez","Home Office","United States","Great Falls",Montana,59405,West,OFF-ST-10004507,"Office Supplies",Storage,"Advantus Rolling Storage Box",51.45,3,0.00,13.89,NULL,NULL
518,CA-2017-127432,1/22/2017,1/27/2017,"Standard Class",AD-10180,"Alan Dominguez","Home Office","United States","Great Falls",Montana,59405,West,OFF-PA-10001667,"Office Supplies",Paper,"Great White Multi-Use Recycled Paper (20Lb. and 84 Bright)",11.96,2,0.00,5.38,NULL,NULL
519,CA-2017-127432,1/22/2017,1/27/2017,"Standard Class",AD-10180,"Alan Dominguez","Home Office","United States","Great Falls",Montana,59405,West,OFF-ST-10004459,"Office Supplies",Storage,"Tennsco Single-Tier Lockers",1126.02,3,0.00,56.30,NULL,NULL
523,CA-2017-145142,1/23/2017,1/25/2017,"First Class",MC-17605,"Matt Connell",Corporate,"United States",Detroit,Michigan,48234,Central,FUR-TA-10001857,Furniture,Tables,"Balt Solid Wood Rectangular Table",210.98,2,0.00,21.10,NULL,NULL
